Generation,a,b,af,bf,as,bs,e
0.0,2.1556988164545086,21.750516531683495,4.720677134277347,12.525784568566857,2.5257481299143745,37.05473938584708,3.195786249687494
0.0,2.5407556103852955,22.800498736299318,4.114722147345086,20.045914512828254,4.055147725894867,37.80387933529562,3.699925144001856
0.0,3.1981475425214736,13.157057205820221,3.698126252103748,16.750821809281923,3.814800538576239,40.0,3.587651226305161
0.0,4.2797780835962,23.84199605448705,3.046817967103555,12.596222598550462,2.3489975452108256,17.42963268000833,6.759819516285428
1.0,2.1556988164545086,21.750516531683495,4.720677134277347,12.525784568566857,2.5257481299143745,37.05473938584708,3.195786249687494
1.0,3.1147903740665113,29.668968214328036,3.904576028278474,20.788860304318504,3.8970348743031926,37.94804424325649,4.764779144249812
1.0,3.163151428134579,23.537172862811477,4.418731059564394,16.538632097372005,2.0295455529246875,39.8247952502017,4.1456592976720374
1.0,2.5407556103852955,22.800498736299318,4.114722147345086,20.045914512828254,4.055147725894867,37.80387933529562,3.699925144001856
2.0,2.0,26.123937651866235,4.47203028304771,20.644054275280194,2.0,28.89282439913243,3.0302815446628135
2.0,2.766623496214196,25.23846267017089,3.969255614820144,17.00910342532281,2.640039466592271,40.0,3.5501627144622905
2.0,2.1556988164545086,21.750516531683495,4.720677134277347,12.525784568566857,2.5257481299143745,37.05473938584708,3.195786249687494
2.0,3.16719366311414,26.145416762984613,4.340420706015407,13.747967971989393,4.062557185115846,40.0,4.622893424779795
3.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
3.0,3.16719366311414,26.145416762984613,4.340420706015407,13.747967971989393,4.062557185115846,40.0,4.622893424779795
3.0,2.1556988164545086,21.750516531683495,4.720677134277347,12.525784568566857,2.5257481299143745,37.05473938584708,3.195786249687494
3.0,2.0,20.554171581312474,4.034608539859465,16.605605190802134,3.280814098962682,31.284156253288955,3.0861801796573873
4.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
4.0,2.173242806747615,16.267671278861656,3.8403514050108445,15.908697734819876,3.8062122931641515,40.0,3.314568010762308
4.0,2.074507641238702,20.966106714156595,4.602092929636999,14.9298778665773,3.223875204433413,40.0,3.123589516570546
4.0,2.0,20.554171581312474,4.034608539859465,16.605605190802134,3.280814098962682,31.284156253288955,3.0861801796573873
5.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
5.0,2.0,25.139455627025363,4.638756651234078,15.726586219044796,3.0522697273850747,29.317673552391007,3.2468948135037095
5.0,2.0,20.554171581312474,4.034608539859465,16.605605190802134,3.280814098962682,31.284156253288955,3.0861801796573873
5.0,2.0,25.350691941346017,4.2467186105888555,13.699814179318972,2.9444557782677667,38.54980776177441,3.1025958604118227
6.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
6.0,2.0,30.356406482785054,4.3445720352575075,11.501318614483852,3.3138757559190153,38.198459377955324,3.2329462189773848
6.0,2.0,25.350691941346017,4.2467186105888555,13.699814179318972,2.9444557782677667,38.54980776177441,3.1025958604118227
6.0,2.0,20.554171581312474,4.034608539859465,16.605605190802134,3.280814098962682,31.284156253288955,3.0861801796573873
7.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
7.0,2.578572360525445,15.91815980589766,4.062733981154783,14.538438970365377,3.0915547166256356,40.0,2.8650805246884246
7.0,2.0,25.350691941346017,4.2467186105888555,13.699814179318972,2.9444557782677667,38.54980776177441,3.1025958604118227
7.0,2.0,30.356406482785054,4.3445720352575075,11.501318614483852,3.3138757559190153,38.198459377955324,3.2329462189773848
8.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
8.0,2.4987408835980935,19.735397950958735,3.5149596166312937,9.57084293401213,3.625758842581066,40.0,3.4907311489523027
8.0,2.578572360525445,15.91815980589766,4.062733981154783,14.538438970365377,3.0915547166256356,40.0,2.8650805246884246
8.0,2.0,20.430196073954694,4.3086564447612865,7.822663164276437,3.0996845897719263,29.180869813121827,2.834046236554421
9.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
9.0,2.578572360525445,15.91815980589766,4.062733981154783,14.538438970365377,3.0915547166256356,40.0,2.8650805246884246
9.0,2.367052095402012,26.177488721795925,3.3322664580346895,10.710324109633143,3.1807075953711723,31.394974035243422,3.870640425546052
9.0,2.0,20.430196073954694,4.3086564447612865,7.822663164276437,3.0996845897719263,29.180869813121827,2.834046236554421
10.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
10.0,2.275810734892483,19.058861933903234,3.592050744908187,12.240935728799005,2.6083501062161787,35.17534267393621,3.394797519529507
10.0,2.0,20.430196073954694,4.3086564447612865,7.822663164276437,3.0996845897719263,29.180869813121827,2.834046236554421
10.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
11.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
11.0,2.0,20.430196073954694,4.3086564447612865,7.822663164276437,3.0996845897719263,29.180869813121827,2.834046236554421
11.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
11.0,2.0,20.97680486089135,4.492490030417391,16.07385117728734,3.284447973061019,31.44979794942056,2.884095855033206
12.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
12.0,2.0,20.430196073954694,4.3086564447612865,7.822663164276437,3.0996845897719263,29.180869813121827,2.834046236554421
12.0,2.134683788650617,25.279433330321858,4.607627388786549,19.0778419470939,3.0724255290291613,31.801690875210657,3.396880894589112
12.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
13.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
13.0,2.0,24.503808616478416,4.2314249977802,17.407251906384875,3.16586890502715,33.070418110233305,3.1254263569905283
13.0,2.0,22.41508484515657,4.321270474267589,10.572680286677008,3.289283029992941,35.82344916744121,2.7883617534062353
13.0,2.134683788650617,25.279433330321858,4.607627388786549,19.0778419470939,3.0724255290291613,31.801690875210657,3.396880894589112
14.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
14.0,2.400876228334149,17.79406352410505,4.139790009524465,18.58573521079857,2.6233433533024937,39.552876128573736,2.9424528685216065
14.0,2.0,13.045097868772435,4.293682502410722,12.417669327240743,2.972154548241796,40.0,4.237047484391466
14.0,2.0,19.101584302172537,4.500053618082383,17.864510110984416,3.1686121059105825,39.28342969623051,2.8796588943520742
15.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
15.0,2.5964206214034173,13.21039130379252,4.6935535771701815,21.381918874392195,3.207798714301125,37.88883545859672,3.4013955232418125
15.0,2.0,19.101584302172537,4.500053618082383,17.864510110984416,3.1686121059105825,39.28342969623051,2.8796588943520742
15.0,2.400876228334149,17.79406352410505,4.139790009524465,18.58573521079857,2.6233433533024937,39.552876128573736,2.9424528685216065
16.0,2.2348166574170394,16.42490416512686,4.429918022837374,16.606025498152388,2.943339258552782,37.10477816422792,2.6899793987275005
16.0,2.400876228334149,17.79406352410505,4.139790009524465,18.58573521079857,2.6233433533024937,39.552876128573736,2.9424528685216065
